Record Type,Province Code,Province Name,Is Canada,Population in Census Families,Children Aged 0 to 5,Population Status,Children Status,CSD Number,CSD Name,MIZ Identifier,MIZ Label,MIZ Analysis Label,Geography Type,Child Population Band,Child Population Band Sort,Public Denominator Flag,MIZ Status,Province Status,Indicator,Indicator Short Name,Indicator Description,Indicator Sort,Children Count,Percent,Value Status,Note Number,Note
Province,0,Canada,Yes,29480620,2208195,Reportable,Reportable,,,,,,,,,,,,,,,,,,,,
Province,10,Newfoundland and Labrador,No,412575,23065,Reportable,Reportable,,,,,,,,,,,,,,,,,,,,
Province,11,Prince Edward Island,No,121345,8205,Reportable,Reportable,,,,,,,,,,,,,,,,,,,,
Province,12,Nova Scotia,No,753980,49190,Reportable,Reportable,,,,,,,,,,,,,,,,,,,,
Province,13,New Brunswick,No,610505,39460,Reportable,Reportable,,,,,,,,,,,,,,,,,,,,
Province,24,Quebec,No,6557905,511745,Reportable,Reportable,,,,,,,,,,,,,,,,,,,,
Province,35,Ontario,No,11602145,827350,Reportable,Reportable,,,,,,,,,,,,,,,,,,,,
Province,46,Manitoba,No,1067235,93690,Reportable,Reportable,,,,,,,,,,,,,,,,,,,,
Province,47,Saskatchewan,No,904005,82050,Reportable,Reportable,,,,,,,,,,,,,,,,,,,,
Province,48,Alberta,No,3456710,300890,Reportable,Reportable,,,,,,,,,,,,,,,,,,,,
Province,59,British Columbia,No,3898250,261480,Reportable,Reportable,,,,,,,,,,,,,,,,,,,,
Province,60,Yukon,No,30485,2670,Reportable,Reportable,,,,,,,,,,,,,,,,,,,,
Province,61,Northwest Territories,No,33235,3345,Reportable,Reportable,,,,,,,,,,,,,,,,,,,,
Province,62,Nunavut,No,32260,5045,Reportable,Reportable,,,,,,,,,,,,,,,,,,,,
Province Indicators,0,Canada,,,,,,,,,,,,,,,,,Below LIM,,,1,274810,12.4,Reportable,,
Province Indicators,0,Canada,,,,,,,,,,,,,,,,,Indigenous Identity,,,2,160395,7.3,Reportable,,
Province Indicators,0,Canada,,,,,,,,,,,,,,,,,Parent(s) Less Than High School,,,3,133210,6.032528830107848,Reportable,,
Province Indicators,0,Canada,,,,,,,,,,,,,,,,,Immigrant Parent(s),,,4,808530,36.614972862451005,Reportable,,
Province Indicators,0,Canada,,,,,,,,,,,,,,,,,Lone Parent,,,5,328030,14.855119226336441,Reportable,,
Province Indicators,10,Newfoundland and Labrador,,,,,,,,,,,,,,,,,Below LIM,,,1,3790,16.4,Reportable,,
Province Indicators,10,Newfoundland and Labrador,,,,,,,,,,,,,,,,,Indigenous Identity,,,2,2855,12.4,Reportable,,
Province Indicators,10,Newfoundland and Labrador,,,,,,,,,,,,,,,,,Parent(s) Less Than High School,,,3,1260,5.462822458270106,Reportable,,
Province Indicators,10,Newfoundland and Labrador,,,,,,,,,,,,,,,,,Immigrant Parent(s),,,4,1775,7.695642748753523,Reportable,,
Province Indicators,10,Newfoundland and Labrador,,,,,,,,,,,,,,,,,Lone Parent,,,5,5120,22.19813570344678,Reportable,,
Province Indicators,11,Prince Edward Island,,,,,,,,,,,,,,,,,Below LIM,,,1,1275,15.5,Reportable,,
Province Indicators,11,Prince Edward Island,,,,,,,,,,,,,,,,,Indigenous Identity,,,2,290,3.5,Reportable,,
Province Indicators,11,Prince Edward Island,,,,,,,,,,,,,,,,,Parent(s) Less Than High School,,,3,400,4.875076173065204,Reportable,,
Province Indicators,11,Prince Edward Island,,,,,,,,,,,,,,,,,Immigrant Parent(s),,,4,1170,14.259597806215721,Reportable,,
Province Indicators,11,Prince Edward Island,,,,,,,,,,,,,,,,,Lone Parent,,,5,1305,15.904936014625228,Reportable,,
Province Indicators,12,Nova Scotia,,,,,,,,,,,,,,,,,Below LIM,,,1,9490,19.3,Reportable,,
Province Indicators,12,Nova Scotia,,,,,,,,,,,,,,,,,Indigenous Identity,,,2,3855,7.8,Reportable,,
Province Indicators,12,Nova Scotia,,,,,,,,,,,,,,,,,Parent(s) Less Than High School,,,3,2805,5.702378532221997,Reportable,,
Province Indicators,12,Nova Scotia,,,,,,,,,,,,,,,,,Immigrant Parent(s),,,4,7510,15.267330758284203,Reportable,,
Province Indicators,12,Nova Scotia,,,,,,,,,,,,,,,,,Lone Parent,,,5,11035,22.43342142711933,Reportable,,
Province Indicators,13,New Brunswick,,,,,,,,,,,,,,,,,Below LIM,,,1,7130,18.1,Reportable,,
Province Indicators,13,New Brunswick,,,,,,,,,,,,,,,,,Indigenous Identity,,,2,2375,6.0,Reportable,,
Province Indicators,13,New Brunswick,,,,,,,,,,,,,,,,,Parent(s) Less Than High School,,,3,1800,4.5615813482007095,Reportable,,
Province Indicators,13,New Brunswick,,,,,,,,,,,,,,,,,Immigrant Parent(s),,,4,4840,12.265585402939685,Reportable,,
Province Indicators,13,New Brunswick,,,,,,,,,,,,,,,,,Lone Parent,,,5,8055,20.413076533198176,Reportable,,
Province Indicators,24,Quebec,,,,,,,,,,,,,,,,,Below LIM,,,1,50820,9.9,Reportable,,
Province Indicators,24,Quebec,,,,,,,,,,,,,,,,,Indigenous Identity,,,2,15185,3.0,Reportable,,
Province Indicators,24,Quebec,,,,,,,,,,,,,,,,,Parent(s) Less Than High School,,,3,29575,5.779245522672425,Reportable,,
