CSD Number,CSD Name,Province Code,Province Name,MIZ Identifier,MIZ Label,MIZ Analysis Label,Geography Type,Population in Census Families,Children Aged 0 to 5,Child Population Band,Child Population Band Sort,Public Denominator Flag,Population Status,Children Status,MIZ Status,Province Status
1001101,"Division No.  1, Subd. V",10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,35,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1001105,Portugal Cove South,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,60,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1001113,Trepassey,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,310,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1001120,St. Shott's,10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,40,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1001124,"Division No.  1, Subd. U",10,Newfoundland and Labrador,4,Strong MIZ,Strong MIZ,MIZ,1145,75,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1001126,Cape Broyle,10,Newfoundland and Labrador,4,Strong MIZ,Strong MIZ,MIZ,470,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1001131,Renews-Cappahayden,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,260,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
1001136,Fermeuse,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,180,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1001140,Port Kirwan,10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,,,Unknown / suppressed,5,"Under 1,000 children",Suppressed,Suppressed,Reportable,Reportable
1001144,Aquaforte,10,Newfoundland and Labrador,7,No MIZ,No MIZ,MIZ,60,,Unknown / suppressed,5,"Under 1,000 children",Reportable,Suppressed,Reportable,Reportable
1001149,Ferryland,10,Newfoundland and Labrador,5,Moderate MIZ,Moderate MIZ,MIZ,270,0,Under 50 children,4,"Under 1,000 children",Reportable,Reportable,Reportable,Reportable
