CSD Number,Province Code,Indicator,Indicator Sort,Children Count,Percent,Value Status
1001101,10,Below LIM,1,,,Suppressed
1001101,10,Indigenous Identity,2,0,0.0,Reportable
1001101,10,Parent(s) Less Than High School,3,0,,Reportable
1001101,10,Immigrant Parent(s),4,0,,Reportable
1001101,10,Lone Parent,5,0,,Reportable
1001105,10,Below LIM,1,,,Suppressed
1001105,10,Indigenous Identity,2,0,0.0,Reportable
1001105,10,Parent(s) Less Than High School,3,0,,Reportable
1001105,10,Immigrant Parent(s),4,0,,Reportable
1001105,10,Lone Parent,5,0,,Reportable
1001113,10,Below LIM,1,0,0.0,Reportable
1001113,10,Indigenous Identity,2,0,0.0,Reportable
1001113,10,Parent(s) Less Than High School,3,0,,Reportable
1001113,10,Immigrant Parent(s),4,0,,Reportable
1001113,10,Lone Parent,5,0,,Reportable
1001120,10,Below LIM,1,,,Suppressed
1001120,10,Indigenous Identity,2,0,0.0,Reportable
1001120,10,Parent(s) Less Than High School,3,0,,Reportable
1001120,10,Immigrant Parent(s),4,0,,Reportable
1001120,10,Lone Parent,5,0,,Reportable
1001124,10,Below LIM,1,0,0.0,Reportable
1001124,10,Indigenous Identity,2,10,13.3,Reportable
1001124,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001124,10,Immigrant Parent(s),4,0,0.0,Reportable
1001124,10,Lone Parent,5,25,33.33333333333333,Reportable
1001126,10,Below LIM,1,0,0.0,Reportable
1001126,10,Indigenous Identity,2,0,0.0,Reportable
1001126,10,Parent(s) Less Than High School,3,0,,Reportable
1001126,10,Immigrant Parent(s),4,0,,Reportable
1001126,10,Lone Parent,5,0,,Reportable
1001131,10,Below LIM,1,0,0.0,Reportable
1001131,10,Indigenous Identity,2,0,0.0,Reportable
1001131,10,Parent(s) Less Than High School,3,0,,Reportable
1001131,10,Immigrant Parent(s),4,0,,Reportable
1001131,10,Lone Parent,5,0,,Reportable
1001136,10,Below LIM,1,,,Suppressed
1001136,10,Indigenous Identity,2,0,0.0,Reportable
1001136,10,Parent(s) Less Than High School,3,0,,Reportable
1001136,10,Immigrant Parent(s),4,0,,Reportable
1001136,10,Lone Parent,5,0,,Reportable
1001140,10,Below LIM,1,,,Suppressed
1001140,10,Indigenous Identity,2,,,Suppressed
1001140,10,Parent(s) Less Than High School,3,,,Suppressed
1001140,10,Immigrant Parent(s),4,,,Suppressed
1001140,10,Lone Parent,5,,,Suppressed
1001144,10,Below LIM,1,,,Suppressed
1001144,10,Indigenous Identity,2,0,0.0,Reportable
