Province Code,Province Name,Is Canada,Population in Census Families,Children Aged 0 to 5,Population Status,Children Status
0,Canada,Yes,29480620,2208195,Reportable,Reportable
10,Newfoundland and Labrador,No,412575,23065,Reportable,Reportable
11,Prince Edward Island,No,121345,8205,Reportable,Reportable
12,Nova Scotia,No,753980,49190,Reportable,Reportable
13,New Brunswick,No,610505,39460,Reportable,Reportable
24,Quebec,No,6557905,511745,Reportable,Reportable
35,Ontario,No,11602145,827350,Reportable,Reportable
46,Manitoba,No,1067235,93690,Reportable,Reportable
47,Saskatchewan,No,904005,82050,Reportable,Reportable
48,Alberta,No,3456710,300890,Reportable,Reportable
59,British Columbia,No,3898250,261480,Reportable,Reportable
60,Yukon,No,30485,2670,Reportable,Reportable
61,Northwest Territories,No,33235,3345,Reportable,Reportable
62,Nunavut,No,32260,5045,Reportable,Reportable
